Z,H,temp,temp_ratio,pressure,pressure_ratio,density,density_ratio,c,g
255000.0000000000000000000,245200.0000000000000000000,946.3810000000000000000,3.2843000000000000000,0.0000221760000000000,0.0000000002188600000,0.0000000000535870000,0.0000000000437440000,616.7100000000000000000,9.0648000000000000000
260000.0000000000000000000,249800.0000000000000000000,950.9910000000000000000,3.3003000000000000000,0.0000198940000000000,0.0000000001963400000,0.0000000000474200000,0.0000000000387100000,618.2100000000000000000,9.0511000000000000000
265000.0000000000000000000,254400.0000000000000000000,955.1980000000000000000,3.3149000000000000000,0.0000178750000000000,0.0000000001764100000,0.0000000000420580000,0.0000000000343330000,619.5700000000000000000,9.0374000000000000000
270000.0000000000000000000,259000.0000000000000000000,959.0390000000000000000,3.3283000000000000000,0.0000160840000000000,0.0000000001587400000,0.0000000000373820000,0.0000000000305160000,620.8200000000000000000,9.0238000000000000000
275000.0000000000000000000,263600.0000000000000000000,962.5450000000000000000,3.3404000000000000000,0.0000144940000000000,0.0000000001430400000,0.0000000000332940000,0.0000000000271790000,621.9500000000000000000,9.0102000000000000000
280000.0000000000000000000,268200.0000000000000000000,965.7460000000000000000,3.3515000000000000000,0.0000130780000000000,0.0000000001290600000,0.0000000000297100000,0.0000000000242530000,622.9800000000000000000,8.9966000000000000000
285000.0000000000000000000,272800.0000000000000000000,968.6700000000000000000,3.3617000000000000000,0.0000118150000000000,0.0000000001166000000,0.0000000000265600000,0.0000000000216810000,623.9300000000000000000,8.9831000000000000000
290000.0000000000000000000,277300.0000000000000000000,971.3400000000000000000,3.3710000000000000000,0.0000106860000000000,0.0000000001054600000,0.0000000000237830000,0.0000000000194150000,624.7900000000000000000,8.9696000000000000000
295000.0000000000000000000,281900.0000000000000000000,973.7790000000000000000,3.3794000000000000000,0.0000096760000000000,0.0000000000954950000,0.0000000000213310000,0.0000000000174130000,625.5700000000000000000,8.9561000000000000000
300000.0000000000000000000,286500.0000000000000000000,976.0080000000000000000,3.3872000000000000000,0.0000087704000000000,0.0000000000865570000,0.0000000000191590000,0.0000000000156400000,626.2800000000000000000,8.9427000000000000000
305000.0000000000000000000,291000.0000000000000000000,978.0440000000000000000,3.3942000000000000000,0.0000079571000000000,0.0000000000785300000,0.0000000000172320000,0.0000000000140670000,626.9400000000000000000,8.9292000000000000000
310000.0000000000000000000,295600.0000000000000000000,979.9040000000000000000,3.4007000000000000000,0.0000072259000000000,0.0000000000713140000,0.0000000000155190000,0.0000000000126680000,627.5300000000000000000,8.9158000000000000000
315000.0000000000000000000,300100.0000000000000000000,981.6050000000000000000,3.4066000000000000000,0.0000065678000000000,0.0000000000648190000,0.0000000000139940000,0.0000000000114230000,628.0800000000000000000,8.9025000000000000000
320000.0000000000000000000,304700.0000000000000000000,983.1590000000000000000,3.4120000000000000000,0.0000059748000000000,0.0000000000589670000,0.0000000000126340000,0.0000000000103130000,628.5700000000000000000,8.8892000000000000000
325000.0000000000000000000,309200.0000000000000000000,984.5800000000000000000,3.4169000000000000000,0.0000054400000000000,0.0000000000536890000,0.0000000000114190000,0.0000000000093218000,629.0300000000000000000,8.8759000000000000000
330000.0000000000000000000,313700.0000000000000000000,985.8800000000000000000,3.4214000000000000000,0.0000049571000000000,0.0000000000489230000,0.0000000000103330000,0.0000000000084353000,629.4400000000000000000,8.8626000000000000000
335000.0000000000000000000,318200.0000000000000000000,987.0680000000000000000,3.4255000000000000000,0.0000045208000000000,0.0000000000446170000,0.0000000000093607000,0.0000000000076414000,629.8200000000000000000,8.8494000000000000000
340000.0000000000000000000,322700.0000000000000000000,988.1540000000000000000,3.4293000000000000000,0.0000041260000000000,0.0000000000407210000,0.0000000000084886000,0.0000000000069295000,630.1700000000000000000,8.8361000000000000000
345000.0000000000000000000,327200.0000000000000000000,989.1480000000000000000,3.4328000000000000000,0.0000037686000000000,0.0000000000371930000,0.0000000000077054000,0.0000000000062901000,630.4900000000000000000,8.8230000000000000000
350000.0000000000000000000,331700.0000000000000000000,990.0570000000000000000,3.4359000000000000000,0.0000034446000000000,0.0000000000339960000,0.0000000000070011000,0.0000000000057152000,630.7800000000000000000,8.8098000000000000000
355000.0000000000000000000,336200.0000000000000000000,990.8890000000000000000,3.4388000000000000000,0.0000031507000000000,0.0000000000310950000,0.0000000000063670000,0.0000000000051976000,631.0400000000000000000,8.7967000000000000000
360000.0000000000000000000,340700.0000000000000000000,991.6500000000000000000,3.4414000000000000000,0.0000028839000000000,0.0000000000284620000,0.0000000000057954000,0.0000000000047310000,631.2800000000000000000,8.7836000000000000000
365000.0000000000000000000,345200.0000000000000000000,992.3470000000000000000,3.4439000000000000000,0.0000026414000000000,0.0000000000260680000,0.0000000000052795000,0.0000000000043098000,631.5000000000000000000,8.7705000000000000000
370000.0000000000000000000,349600.0000000000000000000,992.9840000000000000000,3.4461000000000000000,0.0000024208000000000,0.0000000000238910000,0.0000000000048132000,0.0000000000039292000,631.7100000000000000000,8.7575000000000000000
375000.0000000000000000000,354100.0000000000000000000,993.5680000000000000000,3.4481000000000000000,0.0000022200000000000,0.0000000000219090000,0.0000000000043914000,0.0000000000035848000,631.8900000000000000000,8.7445000000000000000
380000.0000000000000000000,358600.0000000000000000000,994.1020000000000000000,3.4499000000000000000,0.0000020370000000000,0.0000000000201040000,0.0000000000040093000,0.0000000000032729000,632.0600000000000000000,8.7315000000000000000
385000.0000000000000000000,363000.0000000000000000000,994.5910000000000000000,3.4516000000000000000,0.0000018702000000000,0.0000000000184570000,0.0000000000036629000,0.0000000000029901000,632.2200000000000000000,8.7186000000000000000
390000.0000000000000000000,367500.0000000000000000000,995.0390000000000000000,3.4532000000000000000,0.0000017179000000000,0.0000000000169540000,0.0000000000033484000,0.0000000000027334000,632.3600000000000000000,8.7057000000000000000
395000.0000000000000000000,371900.0000000000000000000,995.4500000000000000000,3.4546000000000000000,0.0000015789000000000,0.0000000000155820000,0.0000000000030627000,0.0000000000025002000,632.4900000000000000000,8.6928000000000000000
400000.0000000000000000000,376300.0000000000000000000,995.8250000000000000000,3.4559000000000000000,0.0000014518000000000,0.0000000000143280000,0.0000000000028028000,0.0000000000022880000,632.6100000000000000000,8.6799000000000000000
405000.0000000000000000000,380700.0000000000000000000,996.1700000000000000000,3.4571000000000000000,0.0000013356000000000,0.0000000000131810000,0.0000000000025662000,0.0000000000020949000,632.7200000000000000000,8.6671000000000000000
410000.0000000000000000000,385200.0000000000000000000,996.4850000000000000000,3.4582000000000000000,0.0000012292000000000,0.0000000000121320000,0.0000000000023507000,0.0000000000019189000,632.8200000000000000000,8.6543000000000000000
